Vivado Simulator 2016.2
Time resolution is 1 ps
13 *  7 =  92, not  91
13 *  8 = 105, not 104
13 *  9 = 118, not 117
13 * 10 = 131, not 130
13 * 11 = 144, not 143
13 * 12 = 157, not 156
13 * 13 = 170, not 169
13 * 14 = 183, not 182
13 * 15 = 196, not 195
14 *  0 =   1, not   0
14 *  1 =  15, not  14
14 *  2 =  29, not  28
14 *  3 =  43, not  42
14 *  4 =  57, not  56
14 *  5 =  71, not  70
14 *  6 =  85, not  84
14 *  7 =  99, not  98
14 *  8 = 113, not 112
14 *  9 = 127, not 126
14 * 10 = 141, not 140
14 * 11 = 155, not 154
14 * 12 = 169, not 168
14 * 13 = 183, not 182
14 * 14 = 197, not 196
14 * 15 = 211, not 210
15 *  0 =   1, not   0
15 *  1 =  16, not  15
15 *  2 =  31, not  30
15 *  3 =  46, not  45
15 *  4 =  61, not  60
15 *  5 =  76, not  75
15 *  6 =  91, not  90
15 *  7 = 106, not 105
15 *  8 = 121, not 120
15 *  9 = 136, not 135
15 * 10 = 151, not 150
15 * 11 = 166, not 165
15 * 12 = 181, not 180
15 * 13 = 196, not 195
15 * 14 = 211, not 210
15 * 15 = 226, not 225
